:-),Positive
:),Positive
:o),Positive
:],Positive
:3,Positive
:c),Positive
:>,Positive
=],Positive
8),Positive
=),Positive
:},Positive
:^),Positive
:D,Extremely-Positive
C:,Extremely-Positive
:-D,Extremely-Positive
:D,Extremely-Positive
8D,Extremely-Positive
xD,Extremely-Positive
XD,Extremely-Positive
=D,Extremely-Positive
=3,Extremely-Positive
<=3,Extremely-Positive
<=8,Extremely-Positive
<=3,Negative
<=8,Negative
8===D,Negative
8===B,Negative
--!--,Negative
:-(,Negative
:(,Negative
:c,Negative
:<,Negative
:[,Negative
:{,Negative
D:,Extremely-Negative
D8,Extremely-Negative
D;,Extremely-Negative
D=,Extremely-Negative
DX,Extremely-Negative
v.v,Extremely-Negative
:-9,Negative
;-),Positive
;),Positive
*),Positive
;],Positive
;D,Positive
:-P,Positive
:P,Positive
XP,Positive
:-p,Positive
:p,Positive
=p,Positive
:-Þ,Positive
:Þ,Positive
:-b,Positive
:b,Positive
:-O,Positive
:O,Positive
O_O,Positive
o_o,Positive
8O,Positive
OwO,Positive
O-O,Positive
0_o,Positive
O_o,Positive
O3O,Positive
o0o,Positive
;o_o;,Positive
o...o,Positive
0w0,Positive
c.c,Negative
C.C,Negative
:-/,Negative
:/,Negative
:\,Negative
=/,Negative
=\,Negative
:S,Negative
:|,Neutral
d:-),Positive
qB-),Positive
:)~,Neutral
:-)>....,Neutral
:-X,Positive
:X,Positive
:-#,Positive
:#,Positive
O:-),Negative
00:03,Negative
O:),Negative
:'(,Negative
;*(,Negative
T_T,Negative
TT_TT,Negative
T.T,Negative
Q.Q,Negative
Q_Q,Negative
;_;,Negative
:-*,Positive
:*,Positive
^o),Negative
>:),Neutral
>;),Neutral
>:-),Neutral
B),Neutral
B-),Neutral
8),Neutral
8-),Neutral
^>.>^,Negative
^<.<^,Negative
^>_>^,Negative
^<_<^,Negative
D:<,Negative
>:(,Negative
D-:<,Negative
>:-(,Negative
:-@[1],Negative
;(,Negative
`_´,Negative
D<,Negative
<3,Positive
<333,Positive
</3,Negative
=^_^=,Positive
=>.>=,Positive
=<_<=,Positive
=>.<=,Positive
"\,,/",Extremely-Positive
\m/,Extremely-Positive
\m/\>.</\m/,Extremely-Positive
\o/,Extremely-Positive
\o,Positive
o/,Positive
d'-',Positive
d'_',Positive
d'-'b,Positive
d'_'b,Positive
o/\o,Positive
:&,Extremely-Negative
:u,Neutral
@}-;-'---,Positive
03:00,Positive
=]:-)=,Neutral
d^_^b,Positive
d-_-b,Positive
(^_^),Positive
(^-^),Positive
(^ ^),Positive
(^.^),Positive
(~_^),Positive
(^_~),Positive
~.^,Positive
^.~,Positive
(>_<),Negative
(>.<),Negative
(>_>),Negative
(¬_¬),Negative
(-_-),Negative
(^o^),Positive
(^3^),Positive
(^_^'),Negative
^_^_^'),Negative
"^^""",Negative
^^^_.^'),Negative
^^_^^;,Negative
^&^^.^;&,Negative
^^^;,Negative
^^^7,Negative
d(>w<)b,Extremely-Positive
q(;^;)p,Extremely-Negative
9(x.x)9,Negative
(;.;)9,Negative
(._.),Negative
"(,_,)",Negative
ZZzzz... ,Neutral
?(??)?,Neutral
(X_X),Negative
x_x,Negative
^///^,Positive
>///<,Positive
>///>,Positive
o///o,Positive
-///-,Positive
=///=,Positive
_|_,Negative
(-.-),Negative
_|_,Negative
t(>.<t),Negative
(V)!_!(V),Neutral
???,Extremely-Positive
\m/*.*\m/,Extremely-Positive
O?O,Negative
&_&,Positive
0-0,Positive
(^^^),Negative
(\_/),Positive
B),Positive
B(,Negative
X3,Extremely-Positive
:3,Positive
x_O,Negative
O_x,Negative
O|¯|_,Positive
orz,Positive
m(_,Positive
_)m,Positive
???,Neutral
??,Positive
